Nom du deck,URL,Winner
Akesha B,https://altered.re/pages/deck?id=019e1c0b-989e-769d-92e3-761a8c555c53,1
Treyst B,https://altered.re/pages/deck?id=019e1c0a-894e-7e74-84e2-cfeffcaac76b,
Della A,https://altered.re/pages/deck?id=019e1c0a-b203-712c-a69d-b1b666a51cb5,1
Della D,https://altered.re/pages/deck?id=019e1c0a-b699-7143-88fb-ef94e3b79ac2,
Della C,https://altered.re/pages/deck?id=019e1c0a-b54c-7f80-a16f-f1282e301cad,
Della E,https://altered.re/pages/deck?id=019e1c0a-b855-7972-8909-4f857f5e1a22,
Isaree A,https://altered.re/pages/deck?id=019e1c0a-d1a4-7e70-a16d-4d198ef5db0c,
Isaree B,https://altered.re/pages/deck?id=019e1c0a-d4b5-7a84-a694-06a1e33cace2,
Isaree C,https://altered.re/pages/deck?id=019e1c0a-d5f4-71ba-8c24-eb0a9ee1df05,
Isaree E,https://altered.re/pages/deck?id=019e1c0a-db3c-7210-83fb-b2c65d862ab0,
Isaree F,https://altered.re/pages/deck?id=019e1c0a-dd87-7cb0-8c5e-0594a3158f49,
Isaree G,https://altered.re/pages/deck?id=019e1c0a-dfe3-71b9-84d7-1621cf93eab4,1
Sierra B,https://altered.re/pages/deck?id=019e1c0b-404d-7cca-a53f-a62d6eed93c7,
Sierra A,https://altered.re/pages/deck?id=019e1c0b-3d9c-7d5f-afca-f9ab630885c7,1
Sierra D,https://altered.re/pages/deck?id=019e1c0b-43d7-7f08-8a04-23cdf5787814,
Sierra C,https://altered.re/pages/deck?id=019e1c0b-4215-7c12-b16e-480b62715182,
Sierra F,https://altered.re/pages/deck?id=019e4ecf-6b76-7b53-9821-d47a488c8bdd,
Sierra G,https://altered.re/pages/deck?id=019e1c0b-4870-7efc-ba4f-3de3b8acd556,
Sierra E,https://altered.re/pages/deck?id=019e1c0b-4510-7553-bc73-a4e7ba80a23d,
Subhash A,https://altered.re/pages/deck?id=019e1c0b-618d-733b-b411-963a21933f0c,
Subhash B,https://altered.re/pages/deck?id=019e1c0b-62d8-7096-8751-cf73bd75facf,
Subhash D,https://altered.re/pages/deck?id=019e1c0b-66b1-741c-bc5f-4488e9eafd01,
Subbash C,https://altered.re/pages/deck?id=019e1c0b-6510-7751-b632-aa422ed38400,1
Treyst A,https://altered.re/pages/deck?id=019e1c0b-76e5-7541-9d64-891486110fab,
Treyst C,https://altered.re/pages/deck?id=019e1c0b-7887-7b42-a222-31ec461181fd,1
Treyst D,https://altered.re/pages/deck?id=019e1c0b-7b45-7f31-8467-83bd70a0dd93,
Isaree D,https://altered.re/pages/deck?id=019e3ffa-c490-7ec7-ba3a-f5bb6f940592,
Auraq B,https://altered.re/pages/deck?id=019e3f28-0664-7288-bbe1-6791db2c205f,1
Atsadi H,https://altered.re/pages/deck?id=019e3ffb-c153-7906-9a86-eb29d1ae41cc,
Matz A,https://altered.re/pages/deck?id=019e1c0a-faf2-7453-b24a-3bb4d18a98b3,1
Zhen H,https://altered.re/pages/deck?id=019e1c0a-630f-77c5-9584-c05c471cbe0a,
Zhen D,https://altered.re/pages/deck?id=019e1c0a-6ed9-7723-bca9-08c786e88339,
Zhen C,https://altered.re/pages/deck?id=019e1c0a-716e-7235-b022-72bd228a833c,
Zhen B,https://altered.re/pages/deck?id=019e1c0a-72f2-744a-9488-ca6e0f3347a7,
Zhen A,https://altered.re/pages/deck?id=019e1c0a-747d-705b-8a5a-8d76f6f7e676,
Waru F,https://altered.re/pages/deck?id=019e1c0a-7605-79cd-bd99-822d75205c1a,
Waru E,https://altered.re/pages/deck?id=019e1c0a-78c7-72bb-8b67-b5a56963037b,
Waru C,https://altered.re/pages/deck?id=019e1c0a-7bbe-7e76-a612-fd73f0ccfec7,
Waru B,https://altered.re/pages/deck?id=019e1c0a-7eca-710e-92b5-d300565edb68,
Waru A,https://altered.re/pages/deck?id=019e1c0a-813c-744a-9434-b6a06899552a,1
Turuun M,https://altered.re/pages/deck?id=019e1c0a-8366-7f12-a38a-f6f4226304f7,
Turuun L,https://altered.re/pages/deck?id=019e1c0a-84bb-7e37-bcc4-aaca6dcf0863,
Turuun K,https://altered.re/pages/deck?id=019e1c0a-8615-79f7-9b6c-7daf0bcfb72c,
Turuun J,https://altered.re/pages/deck?id=019e1c0a-8785-738e-bc3f-fff70145e06b,
Arjun C,https://altered.re/pages/deck?id=019e1c0a-8c14-73f7-973a-7e59d23458d2,1
Arjun B,https://altered.re/pages/deck?id=019e1c0a-8e2a-748d-bb41-76d516effb5f,
Afanas H,https://altered.re/pages/deck?id=019e1c0a-8fc3-7457-8fc4-178fd315f60f,
Atsadi B,https://altered.re/pages/deck?id=019e1c0a-92cc-7e68-b97f-08de564d1c5b,
Atsadi E,https://altered.re/pages/deck?id=019e1c0a-96c1-7934-9fe2-adffb93c0010,
Atsadi F,https://altered.re/pages/deck?id=019e1c0a-9873-72b8-a28e-0e9263c34e45,
Atsadi G,https://altered.re/pages/deck?id=019e1c0a-9a06-7d53-854c-1b811caef2c2,
Arjun K,https://altered.re/pages/deck?id=019e1c0a-9d6a-7145-8255-8d9d2ff786f2,
Akesha E,https://altered.re/pages/deck?id=019e1c0a-9e98-77b7-b7e3-1cbc7a9ca7fa,
Afanas G,https://altered.re/pages/deck?id=019e1c0a-a03b-7cfe-a7a7-ec0aa17c2f26,
Afanas E,https://altered.re/pages/deck?id=019e1c0a-a180-78d9-85f5-2a91bd4c9eeb,
Arjun J,https://altered.re/pages/deck?id=019e1c0a-a2d0-7689-a715-26a825f3b638,
Arjun I,https://altered.re/pages/deck?id=019e1c0a-a417-7e33-994a-1cc01aa0aaf0,
Akesha D,https://altered.re/pages/deck?id=019e1c0a-a571-72b8-adf3-dd4a50d7a43e,
Basira D,https://altered.re/pages/deck?id=019e1c0a-a6eb-7d1c-a878-b1c58f235594,
Basira C,https://altered.re/pages/deck?id=019e1c0a-a8eb-7ce5-bda5-0f4c29cb4249,
Arjun H,https://altered.re/pages/deck?id=019e1c0a-aa82-799f-aea3-2e495da0fbe5,
Basira B,https://altered.re/pages/deck?id=019e1c0a-acf4-7b16-8622-821f6d9c2a07,
Basira E,https://altered.re/pages/deck?id=019e1c0a-af04-701f-a9b2-2686e66c1cb7,
Basira F,https://altered.re/pages/deck?id=019e1c0a-b047-7ae6-8721-f38f4ff87868,1
Della B,https://altered.re/pages/deck?id=019e1c0a-b3fc-722b-92d4-b694813165a5,
Fen A,https://altered.re/pages/deck?id=019e1c0a-ba82-7bda-a66c-df1dfe47f220,
Fen C,https://altered.re/pages/deck?id=019e1c0a-be2e-771e-bfd9-3b390de14e17,
Fen D,https://altered.re/pages/deck?id=019e1c0a-bf97-70f5-ad13-0151d3391deb,
